OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
JQ978574.1.1475	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__Rhodocytophaga	NA	5.79556922485463	3.4866955039979	2.56809470219409	1.10098056081197	3.02999613309518	3.82396553776883	3.5551875982386	5.13875846636431	4.26033944991291	3.36424098257197	2.87683294388567	0.568990042674253	0.0906079501169135	0.13797726882961
JQ427168.1.1443	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	NA	4.00227465679914	0.90990518635033	1.29293202799096	1.40899297961056	1.43719962435782	3.38669350910803	2.26413736006623	2.49145871211364	3.6061489852959	2.63605029370358	1.78722611669884	6.64016043653662	0.63522992985191	0.788886983364774
HM327454.1.1341	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	NA	11.2138978326686	2.74500808319133	2.21863074436669	3.23085366952561	2.65343325906421	2.50565531274691	2.29653360210216	0.915066632035324	5.53226394458622	3.0749065488616	0.473263571404382	9.79875475130005	0.0165627435697584	0.0561263466425531
JN868831.1.1479	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	NA	0.0104121614045205	0.0021846463057631	0.0025384791125477	0.00327672785955944	0.00368276649419044	0.00432942602634456	0.00119986081614533	0.015983696629438	0.00506339368898611	0.00970920918491189	0.0042331267567476	0.00582981601100669	0.000974279033515199	0
MF993505.1.1459	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Adhaeribacter	NA	4.47963221042177	4.02302617206274	1.80316632961305	1.59904319546501	3.24359658975823	3.33690510980507	3.44240068152094	1.70026572895646	2.70689026613197	2.15641535996893	3.05970401977717	9.93867033556421	0.237724084177708	0.0896462481096335
JQ712891.1.1483	d__Bacteria	p__Abditibacteriota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__Abditibacterium	NA	1.0852675925481	0.777734084851663	2.37009333141537	0.344056425253742	0.568066731728875	0.924332456624563	0.183578704870235	0.367625022477073	1.01065338032163	0.444681780668965	1.16918961021369	2.25264090665299	0.474473889321902	0.276734070251477
DQ532201.1.1454	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__PMMR1	NA	0.081695420250853	0.162756149779351	0.110846921247916	0.139260934031276	0.110482994825713	0.309553960883636	1.03188030188498	0.823160376416056	0.477984364240288	1.54861886499345	0.54691997697179	0.861646806426789	0.02435697583788	0.0865281177406027
FJ790601.1.1353	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__uncultured	NA	6.98816217341855	1.74771704461048	1.03485331821528	3.16859584019398	2.18480122267848	1.81727657455813	4.94822600578333	4.12978761663104	8.06902418276826	7.81882615660954	1.15479697924075	1.23358906792902	0.00876851130163679	0.187867354734101
AB374385.1.1523	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	NA	8.20077850929886	29.5473412854459	23.9818583359423	26.3186781679815	38.2492128086619	9.72497321167646	3.59118342272296	4.15176519949651	2.05472515899056	11.5510461672897	0.74164380778218	9.67749457827111	0.0652766952455183	0.228403049531501
LC026867.1.1431	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__uncultured	NA	0.0656767103977446	0.0415082798094988	0.170078100540696	0.082737378453876	0.0837829377428324	0.0454589732766179	0.487143491355003	0.741243931190186	0.510390083849799	0.201951551046167	0.0702699041620102	0.0408087120770469	0	0
FJ595545.1.1368	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Myxococcaceae	NA	0.303554551716405	0.86730458338795	0.141308670598489	0.440719897110745	0.270683337322997	0.0865885205268911	0.0347959636682145	0.0319673932588759	0.403046137643294	0.00388368367396476	0.00338650140539808	0	0.0126656274356976	0.00701579333031914
AB637286.1.1479	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	NA	0.241882518781937	0.423821383318041	0.0837698107140742	0.11960056687392	0.0626070304012374	0.0638590338885822	0	0.00399592415735949	0.0162028598047555	0.00582552551094713	0.00169325070269904	0.00816174241540937	0.00974279033515199	0.051449151089007
GQ009408.1.1350	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Algoriphagus	NA	0.0696813878610217	0.0349543408922095	0.0236924717171119	0.0262138228764756	0.0267000570828807	0.0411295472502733	0.0443948501973771	0.0219775828654772	0.0526592943654555	0.0388368367396476	0.0347116394053303	0.0233192640440268	0.0029228371005456	0.00545672814580378
CP011509.5230715.5232252	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium	NA	0.508594037836193	1.25180233320225	0.215770724566555	0.477583085530789	0.770618888909349	0.128800424283751	0.0527938759103944	0.0259735070228367	0.565074735690849	0.00679644642943832	0.00253987605404856	0	0.0311769290724864	0.000779532592257682
AB637007.1.1469	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Nibribacter	NA	0.0832972912361638	0.079739590160353	0.0279232702380247	0.0122877294733479	0.0230172905886902	0.0400471907436872	0.00599930408072664	0.00199796207867975	0.0121521448535667	0.00194184183698238	0.00677300281079617	0.00466385280880535	0.000974279033515199	0
KP676444.1.1492	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Coleofasciculaceae	g__Microcoleus_Es-Yyy1400	NA	0.015217774360453	0.0109232315288155	0.0279232702380247	0.0688112850507483	0.0101276078590237	0.0140706345856198	0.275967987713425	0.127869573035504	0.184307530279094	0.0572843341909801	0.0279386365945342	0.010493668819812	0	0.0187087822141844
GU444071.1.1469	d__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Thermomicrobiales	f__AKYG1722	g__AKYG1722	NA	0.0640748394124337	0.0720933280901822	0.0262309508296596	0.0344056425253742	0.0110482994825713	0.0692708164215129	0.0395954069327958	0.0219775828654772	0.0364564345607	0.051458808680033	0.00338650140539808	0.0116596320220134	0.119836321122369	0.175394833257978
MG279728.1.1453	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	NA	1.40644272510292	0.247957355704112	0.110846921247916	0.199880399433126	0.430883679820281	0.100659155112511	0.0227973555067612	0.00599388623603924	0.129622878438044	0.119423272974416	0.00592637745944665	0.0209873376396241	0.446219797349961	1.43979669789994
KJ615132.1.1250	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	NA	0.00240280647796626	0.00546161576440774	0	0.00327672785955944	0.00184138324709522	0.00432942602634456	0.00359958244843598	0.00399592415735949	0.00506339368898611	0.00388368367396476	0.000846625351349521	0.00699577921320803	0.0126656274356976	0.00779532592257682
AF058677.1.1871	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Mitochondria	NA	0.376439681548048	0.2960195744309	1.61024191705943	1.82923332759906	3.18651370909827	0.518448766654761	0.298765343220186	0.0998981039339873	0.0445578644630777	0.647604252633623	0.00507975210809712	0.0874472401651004	0.00974279033515199	0.0132520540683806
DQ532236.1.1432	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rubellimicrobium	NA	6.61332436285582	2.05575217372307	0.506849662805358	1.43602598445193	0.822177619828015	1.38325161541709	0.871098952521507	0.449541467702943	2.40106128731721	0.534977426088645	0.910968878052084	1.78508966257025	0.0204598597038192	0.0935439110709219
KC011140.1.1489	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Flavisolibacter	NA	1.23584346516732	1.34464980119719	2.28547736099711	0.608652199913167	0.506380392951185	0.999015055579007	0.151182462834311	0.177818625002497	0.621784745007494	0.142725375018205	0.170171695621254	0.817340204743138	0.626461418550273	0.106795965139302
JQ183098.1.1514	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__uncultured	g__uncultured	NA	0.00160187098531084	0	0.000846159704182567	0.00163836392977972	0.000920691623547609	0	0	0	0	0.000970920918491189	0.000846625351349521	0	0.0019485580670304	0
JQ769795.1.1479	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__uncultured	g__uncultured	NA	0.329985422974034	0.192248874907153	0.0660004569262403	0.157282937258853	0.147310659767617	0.127718067777164	0.101988169372353	0.0699286727537911	0.137724308340422	0.0349531530656828	0.0245521351891361	0.205209523587436	0.0155884645362432	0.10757549773156
DQ906835.1.1414	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingoaurantiacus	NA	0.414884585195508	0.0994014069122209	0.0363848672798504	0.188411851924668	0.0690518717660707	0.17101232804061	0.358758384027453	0.167828814609099	0.892169967999352	0.103888538278557	0.0296318872972332	0.342793181447194	0.00876851130163679	0.0101339236993499
AB696139.1.1444	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__uncultured	NA	1.17417143223285	0.0262157556691572	0.0761543733764311	0.0253946409115857	0.0451138895538328	0.23270664891602	0.00599930408072664	0.129867535114184	0.0192408960181472	0.00970920918491189	0.00592637745944665	0.00116596320220134	0.0116913484021824	0.0124725214761229
KC554403.1.1512	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	NA	0.0857000977141301	0.198802813824442	0.180232016990887	0.149910299574845	0.196107315815641	0.299812752324361	0.0527938759103944	0.0998981039339873	0.119496091060072	0.121365114811399	0.0821226590809035	0.0291490800550335	0.0428682774746687	0.0896462481096335
JROR01000015.13524.14992	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Belnapia	NA	0.382046229996636	0.799580547909294	0.144693309415219	0.226913404274491	0.306590310641354	0.282495048218982	0.191977730583252	0.0319673932588759	0.122534127273464	0.165056556143502	0.00507975210809712	0.0524683440990602	0.000974279033515199	0.0280631733212766
KF037365.1.1464	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	NA	1.57223637208259	0.146371302486127	0.208155287228912	0.135984206171717	0.0948312372254037	0.721931789892955	0.149982602018166	0.0979001418553076	1.09774375177219	0.246613913296762	0.204883335026584	1.3035468600611	0.0214341387373344	0.0420947599819148
AF106537.1.1751	d__Eukaryota	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylella	NA	0.000800935492655422	0	0	0	0	0	0	0	0	0	0	0	0	0
CP025135.1052893.1054418	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Planococcus	NA	0.036042097169494	0.00983090837593394	0.00169231940836513	0.00163836392977972	0.00276207487064283	0.00108235650658614	0	0	0.00101267873779722	0	0.00253987605404856	0	0.000974279033515199	0
MG641900.1.1480	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_PCC-73102	NA	3.02993896871546	0.636824398129943	0.2572325500715	2.40429906695174	0.220045298027879	0.178588823586713	0.20037675629627	0.219775828654772	0.352412200753433	0.150492742366134	0.060110399945816	0.010493668819812	0.00389711613406079	0.0101339236993499
HM366487.1.1494	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	NA	0.272318067502843	0.12015554681697	0.0440003046174935	0.0204795491222465	0.0773380963779992	0.192659458172333	0.0119986081614533	0.0419572036522747	0.0475959006764694	0.133987086751784	0.00169325070269904	0	0.00584567420109119	0.00155906518451536
JQ769935.1.1496	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	NA	0.186617969788713	0.223926246340717	0.104923803318638	0.0557043736125105	0.0966726204724989	0.180753536599885	0.00839902571301729	0.00399592415735949	0.0465832219386722	0.0165056556143502	0.000846625351349521	0.00699577921320803	0.034099766173032	0.0537877488657801
AP018268.9447171.9448654	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Mastigocladopsis_PCC-10914	NA	0.222660066958207	0.200987460130205	0.187001294624347	1.88166097335201	0.839670760675419	0.88861469190722	0.891496586395978	0.601386585682604	1.69117349212136	0.405844943929317	0.232821971621118	0.0256511904484295	0.000974279033515199	0.0226064451754728
KF494573.1.1499	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonadaceae	NA	0.14176558220001	0.067724035478656	0.0761543733764311	0.0172028212626871	0.0313035152006187	0.0616943208754099	0.0119986081614533	0	0.0475959006764694	0.00776736734792951	0.00253987605404856	0.00233192640440268	0.00389711613406079	0.00701579333031914
KF037321.1.1459	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Coleofasciculaceae	g__uncultured	NA	0.0168196453457639	0.0131078778345786	0.0617696584053274	0.389930615287574	0.132579593790856	0.0238118431448951	1.50942490671082	0.805178717707938	0.624822781220886	0.111655905626487	0.00846625351349521	0.00816174241540937	0.000974279033515199	0.00857485851483451
FJ612283.1.1391	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Phormidiaceae	g__Planktothrix_NIVA-CYA_15	NA	0.0136159033751422	0.012015554681697	0.0203078329003816	0.0458741900338322	0.00184138324709522	0.00974120855927525	0.0503941542781037	0.0639347865177519	0.0506339368898611	0.0349531530656828	0.0397913915134275	0.00349788960660402	0	0.00701579333031914
AB695759.1.1437	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__uncultured	NA	0.0176205808384193	0.00983090837593394	0.00423079852091284	0.00983018357867833	0.00184138324709522	0.0205647736251366	0.00239972163229065	0.00399592415735949	0.00708875116458055	0.00388368367396476	0.00931287886484473	0.010493668819812	0.00974279033515199	0.0155906518451536
KC463364.1.1435	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Coleofasciculaceae	g__Wilmottia_Ant-Ph58	NA	0.0848991622214747	0.0109232315288155	0.0558465404760494	1.56299918900985	0.0110482994825713	0.0129882780790337	0.47754460482584	0.139857345507582	0.175193421638919	0.0611680178649449	0.0262453858918351	0.0116596320220134	0	0.00155906518451536
KX508719.1.1448	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Skermanella	NA	1.22863504573342	2.86844059946695	0.586388674998519	1.11736420010977	1.2143922514593	1.1397214014352	0.0635926232557023	0.0599388623603924	0.311905051241544	0.0834991989902422	0.0110061295675438	0.065293939323275	0.14809041309431	0.0389766296128841
KC331301.1.1446	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Microvirga	NA	2.1272846684928	2.90121029405339	1.22947005017727	2.47720626182694	1.94726278380319	1.87355911290061	0.771510504781445	0.603384547761283	0.883055859359177	1.01558328074178	0.0355582647566799	0.14807732667957	0.214341387373344	0.219828191016666
HM187310.1.1476	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Cnuella	NA	0.438912649975171	0.182417966531219	0.0770005330806136	0.0311289146658147	0.04235181468319	0.046541329783204	0.0383955461166505	0.0179816587081177	0.00607607242678333	0.0368949949026652	0.0431778929188256	0.0233192640440268	0.00876851130163679	0.00857485851483451
AJ132943.28.1450	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Friedmanniella	NA	0.184215163310747	0.288373312360729	0.127770115331568	0.193326943714007	0.153755501132451	0.286824474245327	0.0119986081614533	0.00199796207867975	0.0465832219386722	0.015534734695859	0.00169325070269904	0.239022456451274	0.00389711613406079	0.00857485851483451
HQ118429.1.1486	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__Singulisphaera	NA	0.00480561295593253	0.0207541399047494	0.0050769582250954	0.00819181964889861	0.0110482994825713	0.031388338690998	0.00239972163229065	0.00599388623603924	0.00810142990237777	0.00679644642943832	0.0101595042161942	0.00349788960660402	0.0574824629773967	0
KF999686.1.1416	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Spirosoma	NA	0.623928748778573	0.12015554681697	0.093923727164265	0.0131069114382378	0.580035722834994	0.265177344113604	0.00839902571301729	0.00799184831471899	0.392919350265322	0.0174765765328414	0.287005994107488	0.0116596320220134	0	0.000779532592257682
FPLL01006319.11.1516	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__uncultured	NA	0.020824322809041	0.0393236335037357	0.0220001523087468	0.00983018357867833	0.00920691623547609	0.0205647736251366	0	0.00599388623603924	0.00607607242678333	0.00776736734792951	0.000846625351349521	0.00349788960660402	0.0350740452065472	0.0498900859044917
JQ769741.1.1516	d__Bacteria	p__Gemmatimonadota	c__Longimicrobia	o__Longimicrobiales	f__Longimicrobiaceae	g__YC-ZSS-LKJ147	NA	0.293142390311884	0.0666317123257745	0.00846159704182567	0.0122877294733479	0.00828622461192848	0.015152991092206	0.00839902571301729	0.0299694311801962	0.0141775023291611	0.0300985484732269	0.00592637745944665	0.0163234848308187	0.0477396726422447	0.0623626073806146
KF994923.1.1502	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Kineosporiales	f__Kineosporiaceae	g__Quadrisphaera	NA	0.0480561295593253	0.0174771704461048	0.00676927763346054	0.0172028212626871	0.0128896827296665	0.0119059215724475	0.0539937367265397	0	0.00810142990237777	0.035924073984174	0.0101595042161942	0.258843830888697	0.014614185502728	0.00779532592257682
MF113639.1.1477	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	NA	0.268313390039566	0.271988465067506	0.708235672400809	0.221179130520262	0.309352385511997	0.994685629552662	0.0815905354978823	0.467523126411061	0.362538988131405	0.278654303606971	0.00507975210809712	0.0373108224704428	5.08865939204988	3.30443865858031
EU772321.1.1393	d__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__uncultured	NA	0.00320374197062169	0.0021846463057631	0	0.000819181964889861	0	0.00216471301317228	0.00359958244843598	0	0	0.000970920918491189	0.00169325070269904	0.00116596320220134	0.0029228371005456	0.00155906518451536
KC011149.1.1519	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Sorangium	NA	0.0440514520960482	0.0393236335037357	0.129462434739933	0.00819181964889861	0.0230172905886902	0.0519531123161347	0.00119986081614533	0.0119877724720785	0.0202535747559444	0.00970920918491189	0.00677300281079617	0	0.02435697583788	0.0265041081367612
