OTU	Domain	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
JQ978574.1.1475	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__Rhodocytophaga	s__uncultured_bacterium	3.77400804139235	2.80290121029405	1.53070290486626	0.874886338502372	2.30449113373967	2.73078546611683	2.080558655196	3.09684122195361	2.38890914246364	1.98941696198845	2.32229333875174	0.402257304759462	0.0321512081060016	0.0756146614489952
KT343960.1.1494	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	s__Bryum_argenteum	1.52017556505999	0.176956350766811	8.00720928067964	2.09546746618826	3.06406172316644	0.414542542022491	0.0287966595874879	0.167828814609099	0.045570543200875	0.0456332831690859	0.00677300281079617	0.00466385280880535	0.00584567420109119	0.00623626073806146
JQ427168.1.1443	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__uncultured_bacterium	2.17053518509619	0.456591077904487	0.683697040979514	0.680740212823474	0.702487708766826	1.63111125542531	1.22265817165209	1.28069369243372	1.80155547454126	1.34084178843633	1.35290731145653	3.12944523470839	0.31664068589244	0.392884426497872
HM327454.1.1341	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__uncultured_bacterium	4.65824082528393	1.07047668982392	1.30308594444115	1.25662513414105	1.27607859023699	0.970873786407767	0.853101040279328	0.327665780903478	1.75598493134038	1.59328122724404	0.186257577296895	6.08166406268218	0.00974279033515199	0.0288427059135342
AP005672.86352.87849	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__Chloroplast	g__Chloroplast	s__Physcomitrella_patens	0.0857000977141301	0.0502468650325512	0.377387228065425	0.362897610446208	0.532159758410518	0.0692708164215129	0.0215974946906159	0.0799184831471899	0.0232916109693361	0.0145638137773678	0.00169325070269904	0.00116596320220134	0.000974279033515199	0.00233859777677305
JN868831.1.1479	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	s__uncultured_bacterium	0.00640748394124337	0.0021846463057631	0.000846159704182567	0.00327672785955944	0.00276207487064283	0.00324706951975842	0.00119986081614533	0.00799184831471899	0.00303803621339166	0.00679644642943832	0.00169325070269904	0.00582981601100669	0	0
EU861912.1.1491	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Segetibacter	s__uncultured_soil	0.0784916782802313	0.291650281819373	0.477234073158968	0.0655345571911889	0.0672104885189755	0.0876708770334773	0.0755912314171556	0.0419572036522747	0.0303803621339166	0.213602602068062	0.00507975210809712	0.127089989039946	0.0029228371005456	0.0155906518451536
MF993505.1.1459	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Adhaeribacter	s__Adhaeribacter_sp.	0.467746327710766	0.494822388255341	0.307155972618272	0.241658679642509	0.568066731728875	0.500048706042796	0.940690879857936	0.489500709276538	0.29874022765018	1.04762367105199	1.54001151410478	5.21068955063778	0.00584567420109119	0.0202678473986997
JQ712891.1.1483	d__Bacteria	p__Abditibacteriota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__Abditibacterium	s__uncultured_bacterium	0.869015009531132	0.640101367588587	1.70078100540696	0.266234138589205	0.396818089749019	0.777131971728848	0.16438093181191	0.31767597051008	0.819257098877952	0.378659158211564	0.994784787835687	1.95765221649605	0.299103663289166	0.104457367362529
DQ532201.1.1454	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__PMMR1	s__uncultured_bacterium	0.0560654844858795	0.112509284746799	0.0710774151513357	0.0819181964889861	0.0874657042370229	0.243530213981881	0.691119830099708	0.519470140456734	0.407096852594483	1.14859944657508	0.394527413728877	0.40925308397267	0.0214341387373344	0.0561263466425531
KC011100.1.1519	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__uncultured	s__uncultured_delta	0.0752879363096096	0.0262157556691572	0.169231940836513	0.0163836392977972	0.0570828806599518	0.0335530517041703	0	0.0139857345507582	0.0587353667922388	0.0271857857177533	0.000846625351349521	0	0.0224084177708496	0.00389766296128841
FJ790601.1.1353	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__uncultured	s__uncultured_Bacteroidetes	1.89661524660804	0.823611657272688	0.241155515692032	1.32297887329713	0.876498425617324	0.482731001937418	2.51130868819217	1.58038800423568	4.4081905456313	3.70794698771785	0.0634969013512141	0.579483711494065	0.00389711613406079	0.0647012051573876
KR054617.1.1414	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Stakelama	s__Stakelama_algicida	0.00160187098531084	0	0	0	0.00184138324709522	0.00108235650658614	0	0	0	0	0	0	0	0
FPLS01050604.17.1523	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__uncultured	g__uncultured	s__metagenome	0.00480561295593253	0.00436929261152619	0.00338463881673027	0.00245754589466958	0.00276207487064283	0.0054117825329307	0	0	0.00202535747559444	0.00679644642943832	0.000846625351349521	0.00116596320220134	0.00876851130163679	0.00935439110709219
