#OTU ID,1-1,1-2,1-3,1-4,1-7,1-8,2-1,2-2,3-1,3-2,4-1,6-2,c-1,c-3
JQ978574.1.1475,2895,2054,981,803,1748,989,712,725,1090,802,38,205,5,38
JF159835.1.1332,816,50,38,87,69,50,71,21,167,33,34,252,0,2
GU455193.1.1450,6,0,1,1,1,2,4,3,4,10,2,24,0,0
KT343960.1.1494,1538,119,7884,2041,2771,270,14,61,30,24,4,0,2,5
MF993504.1.1464,137,148,111,85,168,112,96,50,69,74,300,565,3,3
FR682739.1.1465,1333,19,8,14,12,24,42,14,62,32,23,130,1,3
GU272285.1.1493,43,52,68,25,14,21,4,0,4,28,4,15,1,1
HQ121238.1.1458,7,1,2,1,13,5,2,8,11,3,1,10,1,0
AB696244.1.1452,51,47,25,9,16,20,5,2,15,4,1,5,0,3
JQ427168.1.1443,1222,26,62,12,27,44,67,53,131,274,0,55,4,56
JF111198.1.1341,2,3,4,0,2,3,0,0,0,0,0,1,0,0
AY218738.1.1489,1,1,1,0,0,1,0,0,0,0,0,0,0,0
EU193097.1.1441,29,7,27,14,10,16,8,3,25,5,0,8,1,1
HM327454.1.1341,2960,37,14,50,47,57,32,11,396,36,31,152,1,2
KX508711.1.1458,153,382,60,62,160,113,4,3,25,5,0,2,7,2
JQ738856.1.1500,28,27,15,21,11,26,8,11,20,37,0,1,0,4
HM241014.1.1342,2827,6,29,3,15,7,208,109,58,19,272,18,0,1
AP005672.86352.87849,107,46,446,443,578,64,18,40,23,15,2,1,1,3
JN868831.1.1479,3,1,1,4,2,0,0,2,2,4,1,0,0,0
DQ532358.1.1497,7,1,6,8,0,9,15,14,11,6,276,4,1,7
LN567305.1.1316,4,0,2,4,0,1,1,1,0,2,0,0,0,0
EU861912.1.1491,95,244,480,77,72,73,63,20,28,214,6,91,3,17
MF993505.1.1459,167,151,139,133,292,227,500,136,65,860,1128,3017,1,19
KY056819.1.1256,2,2,0,2,0,0,1,2,3,1,1,0,0,0
KF037461.1.1456,574,169,1491,1445,1524,523,62,154,86,93,27,8,2,8
JQ712891.1.1483,344,54,134,35,43,77,25,17,183,54,6,15,2,0
DQ532207.1.1444,21,18,30,28,28,57,66,68,52,96,29,133,13,130
DQ532201.1.1454,5,1,0,9,5,1,170,31,190,361,342,114,0,9
KC011100.1.1519,75,21,153,18,52,25,0,6,44,22,0,0,9,1
FJ790601.1.1353,2368,754,285,1615,952,446,2093,791,4353,3819,75,497,4,83
HQ118879.1.1491,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LC026941.1.1437,96,40,25,148,55,33,27,9,52,14,1,159,1,7
KR054617.1.1414,2,0,0,0,2,1,0,0,0,0,0,0,0,0
FJ479475.1.1458,15,7,35,14,15,23,3,13,10,33,11,3,39,13
FPLS01050604.17.1523,4,3,4,2,3,5,0,0,2,6,0,1,0,2
EF683077.1.1476,489,62,33,54,40,62,55,36,96,13,41,85,0,4
JF161052.1.1343,1444,4,0,9,6,6,18,8,58,29,3,368,0,1
HM438604.1.1440,41,1,8,1,1,2,1,1,15,2,5,3,1,2
AB374385.1.1523,73,23003,199,18,24,1445,99,13,84,2520,12,7404,7,11
GQ302563.1.1481,4,3,14,2,1,2,1,3,5,9,0,0,11,10
JF417805.1.1489,68,28,149,14,15,18,0,2,10,4,1,4,21,5
JX079269.1.1430,6,1,1,0,0,0,3,1,7,2,0,0,1,0
DQ185251.1.1444,731,3,0,21,1,0,1,0,1,0,0,0,0,0
JQ627496.1.1368,48,3,4,2,1,1,1,0,10,3,5,55,0,0
JX458411.1.1392,4,0,0,0,4,1,0,0,0,0,0,0,0,0
LC026867.1.1431,48,29,141,87,63,31,344,343,459,179,45,18,0,0
FJ595545.1.1368,347,716,136,502,268,51,26,10,357,3,1,0,8,3
FR682740.1.1465,2391,82,33,78,51,48,60,8,361,35,14,124,1,3
KF094279.1.1379,23,0,42,2,10,29,0,2,10,2,0,0,2,7
AF218242.1.1380,14,0,0,1,0,0,0,0,1,0,0,0,0,2
KC110911.1.1433,168,54,17,63,15,25,6,0,74,1,0,3,0,0
HM366467.1.1487,65,13,94,105,41,8,1,0,0,4,38,48,7,0
LN555085.1.1363,1,0,0,1,0,0,0,0,0,0,0,0,4,2
JF697371.1.1492,70,17,39,25,15,13,4,2,20,15,2,28,0,1
JF417835.1.1474,126,116,13,54,162,71,18,3,43,13,7,469,0,2
FPLS01038073.9.1526,3,0,14,1,5,9,0,0,0,0,0,0,1,1
